law_name,section_ref,heading,body,body_clean,source,source_url,amended_up_to
Code of Criminal Procedure 1898,476-B,"[Omitted by Law Reforms Ordinance, XII of 1972]","476-B. [Omitted by Law Reforms Ordinance, XII of 1972].","476-B. [Omitted by Law Reforms Ordinance, XII of 1972].",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,477,"[Rep. by the Code of Criminal Procedure (Amendment) Act 1923, XVIII of 1923, S","477. [Rep. by the Code of Criminal Procedure (Amendment) Act 1923, XVIII of 1923, S.
129
478-479. [Omitted by Law Reforms Ordinance, XII Of 1972].","477. [Rep. by the Code of Criminal Procedure (Amendment) Act 1923, XVIII of 1923, S.
129
478-479. [Omitted by Law Reforms Ordinance, XII Of 1972].",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,480,Procedure in certain cases of contempt,"480. Procedure in certain cases of contempt: (1) When any such offence as is
described in Section 175, Section 178, Section 179, Section 180 or Section 228 of the
Pakistan
Penal Code is committed in the view or presence of any Civil Criminal or Revenue Court,
the Court may cause the offender to be detained in custody and at any time before the
rising of the Court on the same day may,, if it thinks fit, take cognizance of the offence and
sentence the offender to fine not exceeding two hundred rupees; and, in default of
payment to simple imprisonment for a term which may extend to one month, unless such
fine be sooner paid.
(2) [Omitted by Act, II of 1950, Sch.]","480. Procedure in certain cases of contempt: (1) When any such offence as is
described in Section 175, Section 178, Section 179, Section 180 or Section 228 of the
Pakistan
Penal Code is committed in the view or presence of any Civil Criminal or Revenue Court,
the Court may cause the offender to be detained in custody and at any time before the
rising of the Court on the same day may,, if it thinks fit, take cognizance of the offence and
sentence the offender to fine not exceeding two hundred rupees; and, in default of
payment to simple imprisonment for a term which may extend to one month, unless such
fine be sooner paid.
(2) [Omitted by Act, II of 1950, Sch.]",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,481,Record in such cases,"481. Record in such cases: (1) In every such case the Court shall record the facts
constituting the offence, with the statement (if any) made by the offender, as well as the
finding and sentence.
(2) If the offence is under Section 228 of the Pakistan Penal, Code the record shall show
the nature and stage of the judicial proceeding in which the Court interrupted or insulted
was sitting, and the nature of the interruption or insult.","481. Record in such cases: (1) In every such case the Court shall record the facts
constituting the offence, with the statement (if any) made by the offender, as well as the
finding and sentence.
(2) If the offence is under Section 228 of the Pakistan Penal, Code the record shall show
the nature and stage of the judicial proceeding in which the Court interrupted or insulted
was sitting, and the nature of the interruption or insult.",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,482,Procedure where Court considers that case should not be dealt with under,"482. Procedure where Court considers that case should not be dealt with under
Section 480: (1) If the Court in any case considers that a person accused of any of the
offences referred to in Section 480 and committed in its view or presence should be
imprisoned otherwise than in default of payment of fine, or that a fine exceeding two
hundred rupees should be imposed upon him, or such Court is for any other reason of
opinion that the case should not be disposed of under Section 480, such Court, after
recording the facts constituting the offence and the statement of the accused as
hereinbefore provided, may forward the case to a Magistrate having jurisdiction to try the
same, and may require security to be given for the appearance of such accused person
before such Magistrate, or if sufficient security is not given, shall forward such person in
custody to such Magistrate.
(2) The Magistrate, to whom any case is forwarded under this section, shall proceed to
hear the complaint against the accused person in manner hereinbefore provided.","482. Procedure where Court considers that case should not be dealt with under
Section 480: (1) If the Court in any case considers that a person accused of any of the
offences referred to in Section 480 and committed in its view or presence should be
imprisoned otherwise than in default of payment of fine, or that a fine exceeding two
hundred rupees should be imposed upon him, or such Court is for any other reason of
opinion that the case should not be disposed of under Section 480, such Court, after
recording the facts constituting the offence and the statement of the accused as
hereinbefore provided, may forward the case to a Magistrate having jurisdiction to try the
same, and may require security to be given for the appearance of such accused person
before such Magistrate, or if sufficient security is not given, shall forward such person in
custody to such Magistrate.
(2) The Magistrate, to whom any case is forwarded under this section, shall proceed to
hear the complaint against the accused person in manner hereinbefore provided.",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,483,When Registrar or Sub-Registrar to be deemed a Civil Court within Sections,"483. When Registrar or Sub-Registrar to be deemed a Civil Court within Sections
480 and 482: When the Provincial Government so directs, any Registrar or any Sub-
Registrar appointed under the [Registration Act, 1908] shall be deemed to be a Civil Court
within the meaning of Sections 480 and 482.","483. When Registrar or Sub-Registrar to be deemed a Civil Court within Sections
480 and 482: When the Provincial Government so directs, any Registrar or any Sub-
Registrar appointed under the [Registration Act, 1908] shall be deemed to be a Civil Court
within the meaning of Sections 480 and 482.",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,484,Discharge of offender on submission of apology,"484. Discharge of offender on submission of apology : When any Court has under
Section 480 or Section 482 adjudged an offender to punishment or forwarded him to a
Magistrate for trial for refusing or omitting to do anything which he -was lawfully required
to do or for any intentional insult or interruption, the Court may in its discretion, discharge
the offender or remit the punishment on his submission to the order or requisition of such
Court, or of apology being made to its satisfaction.","484. Discharge of offender on submission of apology : When any Court has under
Section 480 or Section 482 adjudged an offender to punishment or forwarded him to a
Magistrate for trial for refusing or omitting to do anything which he -was lawfully required
to do or for any intentional insult or interruption, the Court may in its discretion, discharge
the offender or remit the punishment on his submission to the order or requisition of such
Court, or of apology being made to its satisfaction.",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,485,Imprisonment or committal of person refusing to answer or produce document,"485. Imprisonment or committal of person refusing to answer or produce document:
If any witness or person called to produce a document or thing before a Criminal Court
refuses to answer such questions as are put to him or to produce any document or thing in
his possession or power which the Court requires him to produce, and does not offer any
reasonable excuse for such refusal, such Court may, for reasons to be recorded in writing,
sentence him to simple imprisonment, or by warrant under the hand of the Presiding
Magistrate or Judge commit him to the custody of an officer of the Court for any term not
exceeding seven days, unless in the meantime such person consents to he examined and
to answer, or to produce the document, or thing. In the event of his persisting in his
refusal, he may be dealt with according to the provisions of Section 480 or Section 482,
and in the case of a High Court, shall be deemed guilty of a contempt;","485. Imprisonment or committal of person refusing to answer or produce document:
If any witness or person called to produce a document or thing before a Criminal Court
refuses to answer such questions as are put to him or to produce any document or thing in
his possession or power which the Court requires him to produce, and does not offer any
reasonable excuse for such refusal, such Court may, for reasons to be recorded in writing,
sentence him to simple imprisonment, or by warrant under the hand of the Presiding
Magistrate or Judge commit him to the custody of an officer of the Court for any term not
exceeding seven days, unless in the meantime such person consents to he examined and
to answer, or to produce the document, or thing. In the event of his persisting in his
refusal, he may be dealt with according to the provisions of Section 480 or Section 482,
and in the case of a High Court, shall be deemed guilty of a contempt;",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,486,Appeals from convictions in contempt cases,"486. Appeals from convictions in contempt cases: (1) Any person sentenced by any
Court under Section 480 or Section 485 may; not withstanding anything hereinbefore
contained, appeal to the Court to which decrees or orders made in such Court are
ordinarily appealable.
(2) The provisions of Chapter XXXI shall, so far as they are applicable, apply to appeals
under this, section, and the Appellate Court may; alter or reverse the finding, or reverse
the sentence appealed against .
(3) [Omitted by AO Sch.]--
An appeal from such conviction by a Court of Small Causes shall lie to the Court of
Session for the session division within which such Court is situate.
(4) An appeal from such conviction by any officer as Registrar or sub-registrar appointed
as aforesaid may, when such officer is also Judge of a civil Court be made to the Court
to which. It would be under the preceding portion of this section, be made if such
conviction were a decree by such officer in his capacity as such Judge, and in other
causes may be made to the District Judge.","486. Appeals from convictions in contempt cases: (1) Any person sentenced by any
Court under Section 480 or Section 485 may; not withstanding anything hereinbefore
contained, appeal to the Court to which decrees or orders made in such Court are
ordinarily appealable.
(2) The provisions of Chapter XXXI shall, so far as they are applicable, apply to appeals
under this, section, and the Appellate Court may; alter or reverse the finding, or reverse
the sentence appealed against .
(3) [Omitted by AO Sch.]--
An appeal from such conviction by a Court of Small Causes shall lie to the Court of
Session for the session division within which such Court is situate.
(4) An appeal from such conviction by any officer as Registrar or sub-registrar appointed
as aforesaid may, when such officer is also Judge of a civil Court be made to the Court
to which. It would be under the preceding portion of this section, be made if such
conviction were a decree by such officer in his capacity as such Judge, and in other
causes may be made to the District Judge.",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,487,Certain Judges and Magistrates not to try offences referred to in Section 195,"487. Certain Judges and Magistrates not to try offences referred to in Section 195
when committed before themselves: (1) Except as provided1 in Sections 4761, 480 and
485 no Judge of .a Criminal Court or Magistrate, other than a Judge of a High Court, shall
try any
person for any offence referred to in Section 195, when such offence is committed before
himself or in contempt of his authority, or is brought under his notice, as such Judge or
Magistrate in the course of a judicial proceeding.
(2) [Omitted by taw Reforms Ordinance XII of 1972]
CHAPTER XXXVI
[SECTIONS 488TO 490]: [Omitted by Federal Laws (Revision and Declaration)
Ordinance, XXVII of 1981.]
CHAPTER XXXVII
DIRECTIONS OF THE NATURE OF A HABEAS CORPUS","487. Certain Judges and Magistrates not to try offences referred to in Section 195
when committed before themselves: (1) Except as provided1 in Sections 4761, 480 and
485 no Judge of .a Criminal Court or Magistrate, other than a Judge of a High Court, shall
try any
person for any offence referred to in Section 195, when such offence is committed before
himself or in contempt of his authority, or is brought under his notice, as such Judge or
Magistrate in the course of a judicial proceeding.
(2) [Omitted by taw Reforms Ordinance XII of 1972]
CHAPTER XXXVI
[SECTIONS 488TO 490]: [Omitted by Federal Laws (Revision and Declaration)
Ordinance, XXVII of 1981.]
CHAPTER XXXVII
DIRECTIONS OF THE NATURE OF A HABEAS CORPUS",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
